feature,rmse_5ep,mae_5ep,bias_5ep,rmse_100ep,mae_100ep,bias_100ep,rmse_delta,rmse_pct_change,mae_delta,mae_pct_change
Pd,82.24267487246411,57.69232166874488,-19.600286816360125,5.208152121393882,2.998992759114254,-0.684298185249463,-77.03452275107023,-93.66733617374399,-54.69332890963063,-94.80174714352157
Qd,53.017573651508215,37.13492304758755,-4.50918599341847,6.877994038890013,3.6338807709339283,-0.20337960662910337,-46.1395796126182,-87.0269543376315,-33.50104227665362,-90.21438453964966
Pg,123.32738979477476,75.37700514523529,-15.58030914000727,12.192788497004535,5.080720400656299,-3.4162010511184993,-111.13460129777022,-90.11347883280902,-70.29628474457898,-93.25958839719507
Qg,55.43384834593512,39.35799728728647,-2.082992777694367,11.07533216339474,6.273236920939705,-0.6206133409244432,-44.35851618254038,-80.02063271112067,-33.08476036634677,-84.06108706408672
Vm,0.1380865924285344,0.0892242982509302,-0.0339377513050455,0.08893455624359632,0.04138812502808266,0.006491362696621086,-0.04915203618493809,-35.595082274462186,-0.04783617322284754,-53.613392495747455
Va,0.7025840076565595,0.5415440767248264,-0.3642565404668179,0.04653187984326523,0.034060378099004654,-0.007506822797948231,-0.6560521278132943,-93.37703686161738,-0.5074836986258218,-93.710506759672
