feature,rmse,mae
Pd,127.40899293030895,97.37414353499999
Qd,263.43654449267694,187.0454796
Pg,268.477800043427,211.22842992081334
Qg,198.40819235514678,153.99259617553417
Vm,0.66639005085089,0.5954509458622942
Va,9.48232137657038,7.7663181700627995
